CPE,IsolationForest,LOF,EllipticEnvelope,n_metodos_anomalo,anomalia_consenso
PT0002000032936306KX,0,0,0,0,normal
PT0002000032942455NH,0,0,0,0,normal
PT0002000032966446CC,0,0,0,0,normal
PT0002000032968749YT,0,0,0,0,normal
PT0002000032969229AC,0,0,0,0,normal
PT0002000032976997LZ,0,0,0,0,normal
PT0002000032990792KD,0,0,0,0,normal
PT0002000032993611ME,0,0,0,0,normal
PT0002000033016394FN,0,0,0,0,normal
PT0002000033039837ZH,0,0,0,0,normal
PT0002000033074862LZ,0,0,0,0,normal
PT0002000033085062AW,0,0,0,0,normal
PT0002000033094187PL,0,0,0,0,normal
PT0002000033171958DG,0,0,0,0,normal
PT0002000033186037TF,0,0,0,0,normal
PT0002000033254603ZX,0,0,0,0,normal
PT0002000053093191SV,0,0,0,0,normal
PT0002000065256275YB,1,1,1,3,anomalia
PT0002000065523872AA,0,0,0,0,normal
PT0002000066469574LZ,0,0,0,0,normal
PT0002000068856655YV,0,0,0,0,normal
PT0002000068856781NM,0,0,0,0,normal
PT0002000068856872QG,0,0,0,0,normal
PT0002000068856906VS,0,0,0,0,normal
PT0002000068856952LS,0,0,1,1,normal
PT0002000068857099AR,0,0,0,0,normal
PT0002000068857897ZV,0,0,0,0,normal
PT0002000068857909SY,0,0,0,0,normal
PT0002000068859187RL,0,0,0,0,normal
PT0002000068859325FL,0,0,0,0,normal
PT0002000068859382XF,0,0,0,0,normal
PT0002000068859393XH,0,0,0,0,normal
PT0002000068859597LS,0,0,0,0,normal
PT0002000069698702RB,0,0,0,0,normal
PT0002000069803182JW,0,0,0,0,normal
PT0002000071896778MT,0,0,0,0,normal
PT0002000073231742VK,0,0,0,0,normal
PT0002000073481266XH,0,0,0,0,normal
PT0002000073598156DE,1,1,0,2,anomalia
PT0002000075637532JB,0,0,0,0,normal
PT0002000077394934QY,0,0,0,0,normal
PT0002000077647404EM,0,0,0,0,normal
PT0002000078207354XC,0,0,0,0,normal
PT0002000078233981HJ,0,0,0,0,normal
PT0002000078294957RQ,0,0,0,0,normal
PT0002000078441876HB,0,0,0,0,normal
PT0002000079901964CJ,0,0,0,0,normal
PT0002000081344542CP,0,0,0,0,normal
PT0002000081997398TD,0,0,0,0,normal
PT0002000082549706RH,0,0,0,0,normal
PT0002000082592498EF,0,0,0,0,normal
PT0002000084414998AX,0,0,0,0,normal
PT0002000085555547GN,0,0,0,0,normal
PT0002000085641795MX,0,0,0,0,normal
PT0002000089069203YG,0,0,0,0,normal
PT0002000100113293JT,0,0,0,0,normal
PT0002000100742616GC,0,0,0,0,normal
PT0002000101964938LF,0,0,0,0,normal
PT0002000102936404ME,0,0,0,0,normal
PT0002000105483259QH,0,0,0,0,normal
PT0002000106237165CF,0,0,0,0,normal
PT0002000107046231FW,0,0,0,0,normal
PT0002000107172384HT,0,0,0,0,normal
PT0002000107332489XW,0,0,0,0,normal
PT0002000108315818YN,0,0,0,0,normal
PT0002000109837807PE,0,0,0,0,normal
PT0002000109942242HZ,1,1,1,3,anomalia
PT0002000110090564GD,0,0,0,0,normal
PT0002000110607652SB,0,0,0,0,normal
PT0002000112026362NN,1,0,1,2,anomalia
PT0002000112171317NK,0,1,0,1,normal
PT0002000112989585PH,0,0,0,0,normal
PT0002000114685657JR,0,0,0,0,normal
PT0002000115031201VQ,0,0,0,0,normal
PT0002000115673389QK,0,0,0,0,normal
PT0002000115673471CB,0,0,1,1,normal
PT0002000115700602GW,0,0,0,0,normal
PT0002000117822355RM,0,0,0,0,normal
PT0002000119303492KB,0,0,0,0,normal
PT0002000120237616VJ,0,0,0,0,normal
PT0002000120320157HF,0,0,0,0,normal
PT0002000123648159KR,0,0,0,0,normal
PT0002000123801456QA,0,0,0,0,normal
PT0002000125379984SH,0,0,0,0,normal
PT0002000131605602FL,0,1,0,1,normal
PT0002000133505542CK,0,0,0,0,normal
PT0002000133685986TF,1,0,0,1,normal
PT0002000201936109ME,0,0,0,0,normal
