CPE,mean,std,max,median,p05,p95,iqr,missing_pct,pct_zero,hora_pico,mean_noite,mean_dia,ratio_noite_dia,amplitude_horaria,diff_utilizacao_nao_utilizacao,tem_dias_nao_utilizacao,hora_pico_utilizacao,hora_pico_nao_utilizacao,diff_weekday_weekend,cv,cv_diario,autocorr_lag1,autocorr_lag96,tendencia_slope,tendencia_norm,cv_mensal,cluster
PT0002000032936306KX,2.436307789473684,2.779039357857726,30.756,0.0,0.0,5.576,5.356,0.5353216674615112,0.2484683957591988,22,5.046701782143407,0.5676058802308802,8.891207716330568,5.191618686868686,2.5733580600865023,1,22.0,0.0,0.0326594443230502,1.1406766295559407,1.178123921649494,0.9739844738110176,0.9103711165095594,0.387105894452294,0.0035666711194191,1.1939456377835476,6
PT0002000032942455NH,0.090891676026457,0.1311653791150419,2.86,0.06,0.0,0.284,0.088,0.6080560548809567,0.096163958081123,22,0.0716062034727895,0.0891933276304533,0.802820181454257,0.093188622754491,0.1030012726821978,1,22.0,0.0,0.0361753328589119,1.443095615013876,2.113305953728964,0.9302058595446464,0.0542001030089116,0.016810063540778,0.0049219720176996,1.528725704788065,4
PT0002000032966446CC,0.0997910814205778,0.1052072631647814,2.244,0.084,0.0,0.224,0.1159999999999999,0.5716644044168898,0.0890225858126368,22,0.0881684719019935,0.0995755381604696,0.8854430870351586,0.0621671232876712,0.1047409459295038,1,22.0,23.0,0.0124220844367615,1.0542752084364797,1.42453914583529,0.8361266249973226,0.1983523089987422,0.0159213055512944,0.003885264932062,1.3516497314473814,4
PT0002000032968749YT,3.640023819339472,4.001380856038659,31.496,2.036,0.524,12.747799999999987,3.208,0.4660845959132763,0.0006603323672915,12,2.209359420964469,4.75685918367347,0.464457604409954,6.075705494505495,3.3496888458760576,1,12.0,0.0,2.5603710407728197,1.0992732615592498,1.2531713638337785,0.9425642149087082,0.6688872394879193,0.6180646973726356,0.0033172264421809,1.1545009875941032,4
PT0002000032969229AC,2.069069354404677,2.9120939836171544,21.576,0.496,0.304,8.604,2.472,0.5001406263374788,0.0004769067097105,11,0.4355208120395223,3.2016504024144865,0.1360300961376293,5.443030516431925,2.311277371732048,1,11.0,18.0,2.207453712247271,1.4074414554629735,1.3626870131092796,0.964176455792718,0.6423558911574803,0.3644709914591041,0.0036758513132217,1.1441787587773042,4
PT0002000032976997LZ,3.039817298488323,3.1739233773902877,44.48,1.468,0.34,9.298399999999994,4.668,0.3229269843599056,0.0046100981938686,11,2.6668271305943594,3.5741454567962374,0.7461439840181624,4.895559792027729,3.0502691063926832,1,11.0,18.0,1.9820554246118516,1.0441164931091924,1.0599030337786628,0.9674012100338404,0.7622410068958215,0.5189105317431082,0.0026298280562031,1.0051317612996569,1
PT0002000032990792KD,2.3355583929089616,3.371274647424072,28.7,1.044,0.0,12.128,2.2220000000000004,0.5364589065385132,0.0292991917042689,1,3.120955241097192,2.213832368896925,1.4097522851977513,2.310964756152413,2.5442538292575314,1,1.0,18.0,2.1475077666379883,1.443455516958887,1.780507698106328,0.9766048974980532,0.7041072026033808,0.4854658288554767,0.0046773250489735,1.6071822032791558,0
PT0002000032993611ME,0.8494830226845831,1.006829077124737,7.016,0.344,0.276,3.292,0.5,0.3229392127370776,0.0203724763686611,11,0.3232795861625424,1.2056379054221342,0.2681398657993847,1.488974003466205,0.8751028831427609,1,11.0,0.0,0.5080846298952829,1.1852256610648912,1.0118658589952754,0.9689311789625452,0.6541609532723702,0.1148365850166051,0.002082647456589,0.8469807387978847,4
PT0002000033016394FN,1.1994856245033592,1.1875631492867489,8.28,0.612,0.36,3.784,1.088,0.3228902992283894,0.0055516832361177,17,0.5577746426034994,1.6349223817776677,0.3411627663920201,1.8091559792027727,1.207635482110103,1,17.0,0.0,0.6629101107327445,0.9900603433896534,0.9146277117419002,0.9833578806072218,0.5507406525139948,0.1749484265151182,0.0022468486262606,0.862437345254823,4
PT0002000033039837ZH,1.610797607050196,1.700687759387975,11.816,0.916,0.508,5.852799999999989,1.044,0.4297051738263815,0.0180368563287966,10,0.8505256177433552,2.144937683715461,0.3965269593613902,2.5253374485596707,1.6582576221586798,1,10.0,0.0,1.1525436811589822,1.0558047466325655,1.140591345422627,0.9743964013733076,0.6235021920248324,0.2825811138040744,0.0032086369617647,1.0178007136712204,4
