CPE,count,mean,std,min,25%,50%,75%,max
PT0002000032936306KX,38000.0,2.436307789473684,2.779039357857726,0.0,0.0,0.0,5.356,30.756
PT0002000032942455NH,32052.0,0.09089167602645701,0.13116537911504195,0.0,0.02,0.06,0.108,2.86
PT0002000032959511HP,43662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT0002000032966446CC,35028.0,0.09979108142057784,0.1052072631647814,0.0,0.028,0.084,0.144,2.244
PT0002000032968749YT,43662.0,3.640023819339472,4.001380856038659,0.0,1.16,2.036,4.368,31.496
PT0002000032969229AC,40877.0,2.0690693544046774,2.9120939836171544,0.0,0.348,0.496,2.82,21.576
PT0002000032976997LZ,55369.0,3.039817298488323,3.1739233773902873,0.0,0.42,1.468,5.088,44.48
PT0002000032990792KD,37907.0,2.3355583929089616,3.3712746474240722,0.0,0.508,1.044,2.7300000000000004,28.7
PT0002000032993611ME,55368.0,0.8494830226845831,1.006829077124737,0.0,0.296,0.344,0.796,7.016
PT0002000033016394FN,55372.0,1.1994856245033592,1.1875631492867487,0.0,0.492,0.612,1.58,8.28
PT0002000033039837ZH,46637.0,1.6107976070501961,1.700687759387975,0.0,0.748,0.916,1.792,11.816
PT0002000033074862LZ,81764.0,6.626553250819431,6.229196130896825,0.0,3.0,3.0,9.0,35.0
PT0002000033085062AW,14488.0,2.6323282716731087,3.2561226262172887,0.0,0.38,1.218,3.836,19.504
PT0002000033094187PL,78693.0,0.7496075381546008,0.6902602004312575,0.0,0.26,0.412,1.132,4.668
PT0002000033171958DG,43660.0,1.1117333944113605,1.1411550659543443,0.0,0.376,0.424,1.48,7.58
PT0002000033186037TF,81665.0,7.345530692463113,5.3803351415611385,0.0,3.128,6.16,8.88,27.604
PT0002000033254603ZX,78690.0,3.997360121997713,4.617515245956159,0.0,0.368,1.36,7.192,25.232
PT0002000053093191SV,81668.0,0.760175025713866,0.6132019730318499,0.0,0.224,0.584,1.24,3.552
PT0002000065256275YB,81665.0,0.0019012306373599464,0.021729206081286385,0.0,0.0,0.0,0.0,0.612
PT0002000065523872AA,81667.0,0.04424235003122436,0.07805913249610451,0.0,0.004,0.008,0.076,2.244
PT0002000066469574LZ,43662.0,0.728156428931336,0.2096351963400837,0.0,0.616,0.708,0.82,5.844
PT0002000068856655YV,78789.0,1.7625556867075354,1.9650716842416496,0.0,0.0,1.0,3.0,15.0
PT0002000068856781NM,81762.0,31.704263594334776,2.811839588193155,0.0,30.0,31.0,33.0,44.0
PT0002000068856872QG,78787.0,0.14573470242552705,0.5018961602024873,0.0,0.0,0.0,0.0,9.0
PT0002000068856906VS,81762.0,5.8308077101832145,2.7890089307235324,0.0,4.0,5.0,7.0,26.0
PT0002000068856952LS,67174.0,0.8557403161937654,1.2215457264349465,0.0,0.0,1.0,1.0,8.0
PT0002000068857099AR,78788.0,3.037575519114586,3.3787151238450197,0.0,1.0,2.0,3.0,24.0
PT0002000068857897ZV,78788.0,11.821045083007565,10.001592823218605,0.0,6.0,7.0,12.0,65.0
PT0002000068857909SY,78790.0,4.524400304607184,4.976053969241479,0.0,1.0,1.0,8.0,24.0
PT0002000068859187RL,81763.0,11.734562087986008,11.20055195921767,0.0,3.0,7.0,18.0,58.0
PT0002000068859325FL,78789.0,31.50468339489015,27.806965356384325,0.0,11.0,25.0,44.0,500.0
PT0002000068859382XF,78692.0,20.488029278706858,17.667314679958235,0.0,9.0,12.0,22.0,92.0
PT0002000068859393XH,81764.0,24.428556577466857,18.18896093464227,0.0,7.0,25.0,37.0,110.0
PT0002000068859597LS,78787.0,29.197316816226028,23.99151058316524,0.0,11.0,19.0,42.0,142.0
PT0002000069698702RB,46637.0,2.170356412290671,1.1069549545749329,0.0,1.344,1.756,2.56,7.344
PT0002000069803182JW,32051.0,0.47300196561729746,0.7091207330247061,0.0,0.004,0.044,1.328,4.684
PT0002000071896778MT,69958.0,9.932266502758798,13.190327429350937,0.0,1.0,2.0,15.0,68.0
