device,count,mean,std,min,25%,50%,75%,max
00PC503015,6811.0,0.37894582293348994,2.400224562151031,0.0,0.0,0.0,0.0,89.0
10045021,6192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2124881J,6538.0,1.0460385438972162,43.54074778314466,0.0,0.0,0.0,0.0,2148.0
94CWK04576,6612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97WWK12134,6994.0,64.02773806119531,904.7878935770652,0.0,0.0,0.0,0.0,22060.0
98WWKI12645,6815.0,0.16874541452677916,1.674492365033024,0.0,0.0,0.0,0.0,40.0
C15FA534254,6637.0,2.6606900708151273,43.36148273244122,0.0,0.0,0.0,0.0,916.0
C15SC004730,4185.0,20.79259259259259,207.31642803056025,-1.0,0.0,0.0,0.0,5456.0
C16SB066962U,5461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C16SC000825R,4867.0,367.38216560509557,1171.6346123482529,0.0,0.0,0.0,360.5,29813.0
C16SC003896,6496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C16SE010255,6617.0,24.433277920507784,64.96777732630042,0.0,0.0,0.0,20.0,2595.0
C16SE010257A,6599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C17SC007379,6812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C17SC007397,6888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C17SC007432,6814.0,79.19782800117406,110.19287184082624,0.0,0.0,30.0,144.0,1543.0
C17SC007452,6499.0,24.431297122634252,202.39674478940842,0.0,0.0,0.0,0.0,2812.0
C17SC007459,6311.0,6.43463793376644,76.59538741801593,0.0,0.0,0.0,0.0,991.0
C17SC007472,6421.0,0.3731505995950786,29.70195125376275,0.0,0.0,0.0,0.0,2380.0
C17SC007473,5637.0,1.0782331027142096,36.97166375860141,0.0,0.0,0.0,0.0,1534.0
C17SC007479,6030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C17SC007487,6224.0,151.70099614395886,258.02532072320355,0.0,0.0,38.0,272.25,5789.0
C17SC007489,5580.0,2.3829749103942652,36.27427973438644,0.0,0.0,0.0,0.0,569.0
C17SC007492,6091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C17SC007493,5881.0,4.124808706002381,54.28813652241616,0.0,0.0,0.0,0.0,877.0
C17SC007494,6611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C17SC007495,5031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C18LB000167,5820.0,6.509621993127148,35.66869004590325,0.0,0.0,0.0,6.0,1508.0
C18LB000173,6490.0,160.7115562403698,282.8418418114903,-215.0,0.0,8.0,160.0,1990.0
C18SC002011N,6494.0,23.105635971666153,50.22906336953093,0.0,0.0,1.0,31.0,745.0
C18SC002021,6073.0,62.471430923760906,314.66523485846847,0.0,0.0,0.0,0.0,3891.0
C18SC002022,5801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C18SC002026,6194.0,5.983855343881175,90.79007890816173,-1.0,0.0,0.0,0.0,1410.0
C18SC002034,6021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C18SC002050U,4528.0,128.68970848056537,214.393043450191,0.0,26.0,66.5,139.0,2358.0
C18SC002069,6530.0,256.34425727411946,144.3048139339019,-358.0,175.0,241.0,307.0,2288.0
C18SC002074,5916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C18SC002075,6521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C18SC002081,6428.0,7.67221530802738,104.00567179843895,0.0,0.0,0.0,0.0,1929.0
C18SC002082,6372.0,17.9924670433145,204.42360313300597,0.0,0.0,0.0,0.0,4801.0
C18SC002088,6340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C18SC002098,6371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C18SC002104,6417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C18SC002113,6377.0,863.875333228791,665.366945048868,0.0,542.0,809.0,1049.0,19847.0
C18SC002133,6850.0,2.547883211678832,79.03728371478073,0.0,0.0,0.0,0.0,2506.0
C18SC005951,6067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C18SC005955,6406.0,15.695441773337496,83.35762781563969,0.0,0.0,0.0,0.0,1056.0
C18SC005956,6548.0,0.8840867440439829,40.840735013587704,0.0,0.0,0.0,0.0,2978.0
C18SC005957,6720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C18SC005960J,6427.0,78.68476738758363,166.85872470001843,0.0,5.0,19.0,57.0,3682.0
C18SC005963M,4023.0,425.4615958240119,909.0351251360519,0.0,112.0,265.0,407.0,27236.0
C20LB001379,6403.0,47.839606434483834,127.45968868340397,0.0,2.0,7.0,36.0,2849.0
C21FE001327,6208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C21FE004002H,6433.0,174.3502254002798,138.06247906414643,-44.0,38.0,176.0,243.0,1470.0
C21FE004003I,5395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C21FE010286W,5689.0,0.0005273334505185445,0.039774368022077164,0.0,0.0,0.0,0.0,3.0
C21FE010289Z,6191.0,770.745598449362,468.4535622176132,349.0,500.0,619.0,911.0,9653.0
C22FC001476U,6239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C22FC002058K,5475.0,3.3680365296803654,91.46832858714276,0.0,0.0,0.0,0.0,3373.0
C22FC002164L,2554.0,171.99882537196555,541.6725584649804,0.0,16.0,55.0,118.0,14082.0
C22FC002165M,5137.0,81.63772629939653,301.9955201001521,-4.0,11.0,50.0,108.0,15789.0
C22FC002170J,6195.0,174.84309927360775,155.23517083719173,0.0,66.5,163.0,253.0,4663.0
C22FC002175O,5839.0,35.556602157903754,43.28235144240074,0.0,7.0,24.0,48.0,674.0
C22FC002177Q,6343.0,237.23490461926534,117.45613189174719,0.0,224.0,230.0,325.0,3004.0
C22FE011956,6346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C22FE011961V,6417.0,1700.8790712170796,635.61122969281,22.0,1421.0,1549.0,2033.0,11646.0
C22FE011963X,5938.0,48.86089592455372,26.042446985217833,0.0,50.0,53.0,54.0,468.0
C23FC001331N,5000.0,94.2854,140.3438150547605,0.0,21.0,60.0,116.0,2932.0
C23FC001332O,6186.0,35.862592951826706,44.499674735641136,0.0,6.0,22.0,49.0,586.0
C23FC001333P,6098.0,52.90078714332568,53.54632834615332,0.0,15.0,41.0,76.0,622.0
C23FE003151H,6096.0,254.27345800524935,1578.8883495055463,0.0,0.0,0.0,0.0,41352.0
C23FE003152I,6093.0,38.4603643525357,246.34462701473066,-5.0,0.0,0.0,1.0,2356.0
C23FE003153J,4495.0,8.157953281423804,39.94991260252402,-2.0,0.0,0.0,0.0,953.0
