tstamp,PT0002000032936306KX,PT0002000032942455NH,PT0002000032959511HP,PT0002000032966446CC,PT0002000032968749YT,PT0002000032969229AC,PT0002000032976997LZ,PT0002000032990792KD,PT0002000032993611ME,PT0002000033016394FN,PT0002000033039837ZH,PT0002000033074862LZ,PT0002000033085062AW,PT0002000033094187PL,PT0002000033171958DG,PT0002000033186037TF,PT0002000033254603ZX,PT0002000053093191SV,PT0002000065256275YB,PT0002000065523872AA,PT0002000066469574LZ,PT0002000068856655YV,PT0002000068856781NM,PT0002000068856872QG,PT0002000068856906VS,PT0002000068856952LS,PT0002000068857099AR,PT0002000068857897ZV,PT0002000068857909SY,PT0002000068859187RL,PT0002000068859325FL,PT0002000068859382XF,PT0002000068859393XH,PT0002000068859597LS,PT0002000069698702RB,PT0002000069803182JW,PT0002000071896778MT,PT0002000073231742VK,PT0002000073481266XH,PT0002000073598156DE,PT0002000073717386HC,PT0002000075637532JB,PT0002000077394934QY,PT0002000077647404EM,PT0002000078207354XC,PT0002000078233981HJ,PT0002000078294957RQ,PT0002000078441876HB,PT0002000079901964CJ,PT0002000081344542CP,PT0002000081997398TD,PT0002000082549706RH,PT0002000082592498EF,PT0002000084414998AX,PT0002000085555547GN,PT0002000085641795MX,PT0002000089069203YG,PT0002000100113293JT,PT0002000100742616GC,PT0002000101964938LF,PT0002000102936404ME,PT0002000103647515BL,PT0002000105483259QH,PT0002000106237165CF,PT0002000107046231FW,PT0002000107172384HT,PT0002000107332489XW,PT0002000108315818YN,PT0002000109837807PE,PT0002000109942242HZ,PT0002000110090564GD,PT0002000110607652SB,PT0002000112026362NN,PT0002000112171317NK,PT0002000112989585PH,PT0002000114685657JR,PT0002000115031201VQ,PT0002000115673389QK,PT0002000115673471CB,PT0002000115700602GW,PT0002000117822355RM,PT0002000119303492KB,PT0002000120237616VJ,PT0002000120320157HF,PT0002000123648159KR,PT0002000123801456QA,PT0002000125379984SH,PT0002000131605602FL,PT0002000133505542CK,PT0002000133685986TF,PT0002000201936109ME
2022-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,3004.0,4.0,392.0,0.0,143.0,0.0,47.0,1118.0,1016.0,0.0,657.0,2195.0,0.0,0.0,965.0,281.0,140.0,0.0,340.0,127.0,1585.0,40.0,125.0,73.0,124.0,11964.0,0.0,46.0,1557.0,633.0,0.0,0.0,0.0,0.0,45.284,4460.0,0.0,0.0,452.0,84.0,12.0,0.0,154.0,323.0,0.0,0.0,107.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,84.0,787.0,1561.0,354.0,0.0,146.0,329.0,0.0,388.0,0.0,104.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,0.0,182.408,0.0,351.896,363.632,16.116,0.0,0.616,0.0,71.0,3014.0,3.0,488.0,0.0,144.0,649.0,47.0,1098.0,1070.0,619.0,519.0,2180.0,0.0,0.0,1793.0,281.0,144.0,0.0,344.0,134.0,1184.0,22.0,122.0,78.0,125.0,13125.0,74.248,48.0,1461.0,650.0,0.0,0.0,0.0,0.0,46.403999999999996,4710.0,0.0,0.0,456.0,92.0,12.0,0.0,151.0,268.0,0.0,0.0,101.0,0.0,118.0,0.0,1.124,0.0,0.0,0.0,82.0,777.0,1542.0,346.0,0.0,441.0,317.0,6.867999999999999,680.0,6.88,106.0,0.0,11.196,0.0,0.0
2023-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,0.0,182.892,0.0,339.3,488.22,16.252,0.056,0.628,0.0,88.0,3018.0,4.0,490.0,0.0,304.0,615.0,48.0,1151.0,1908.0,630.0,417.0,2416.0,0.0,0.0,1799.0,283.0,468.0,0.0,345.0,158.0,2927.0,0.0,121.0,80.0,123.0,15217.0,75.292,253.0,1756.0,647.0,0.0,0.0,0.0,0.0,46.184,4078.0,0.0,0.0,455.0,94.0,14.0,0.0,157.0,258.0,0.0,0.0,97.0,0.0,119.0,0.0,1.3599999999999999,0.0,0.0,0.0,82.0,763.0,1724.0,358.0,0.0,216.0,365.0,7.004,825.0,3.52,106.0,0.0,11.232,0.0,0.0
2023-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.0,0.0,171.448,0.0,1017.912,827.0840000000001,84.304,0.0,4.124,0.0,379.0,3256.0,4.0,967.0,0.0,399.0,1667.0,1008.0,1964.0,4464.0,3007.0,2299.0,5626.0,0.0,0.0,2444.0,599.0,520.0,0.0,708.0,755.0,2900.0,510.0,580.0,267.0,1225.0,23517.0,75.024,268.0,1996.0,903.0,0.0,0.0,0.0,0.0,531.4399999999999,3819.0,0.0,0.0,486.0,86.0,17.0,0.0,681.0,357.0,0.0,0.0,369.0,0.0,397.0,0.0,1.164,0.0,0.0,0.0,1483.0,2218.0,2515.0,1284.0,0.0,1210.0,755.0,4.252,1523.0,3.292,653.0,0.0,11.224,0.0,0.0
2023-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1095.0,0.0,160.9,0.0,1084.808,849.852,71.672,0.0,1.796,0.0,226.0,3320.0,3.0,1073.0,0.0,296.0,1684.0,982.0,1944.0,4500.0,3055.0,2665.0,6282.0,0.0,0.0,2308.0,618.0,562.0,0.0,970.0,743.0,2592.0,477.0,590.0,377.0,1267.0,23049.0,75.44,447.0,2147.0,817.0,0.0,0.0,0.0,0.0,639.304,3814.0,0.0,0.0,427.0,87.0,17.0,0.0,774.0,344.0,0.0,0.0,402.0,0.0,348.0,0.0,1.656,0.0,0.0,0.0,1692.0,2369.0,2678.0,1339.0,0.0,1231.0,805.0,5.56,1555.0,3.068,596.0,0.0,11.204,0.0,0.0
2023-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1045.0,0.0,159.044,0.0,1097.788,921.476,106.044,0.11199999999999999,3.516,0.0,260.0,3257.0,4.0,677.0,0.0,341.0,1791.0,1032.0,2042.0,4121.0,3237.0,2458.0,6002.0,0.0,0.0,1565.0,598.0,566.0,0.0,968.0,716.0,2790.0,588.0,583.0,336.0,1049.0,23580.0,75.468,376.0,2061.0,963.0,0.0,0.0,0.0,0.0,558.198,3934.0,0.0,0.0,451.0,86.0,19.0,0.0,719.0,329.0,0.0,0.0,399.0,0.0,336.0,0.0,2.244,0.0,0.0,0.0,1627.0,2537.0,2703.0,1310.0,0.0,1073.0,793.0,7.036,1382.0,3.28,633.0,0.0,10.628,0.0,0.0
2023-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,916.0,0.0,165.36,0.0,1116.06,911.592,105.07600000000001,0.0,18.632,0.0,280.0,3199.0,4.0,822.0,0.0,320.0,1686.0,953.0,1978.0,3761.0,3270.0,2906.0,6096.0,0.0,0.0,954.0,583.0,569.0,0.0,971.0,808.0,2811.0,468.0,568.0,285.0,984.0,26090.0,75.012,449.0,2123.0,866.0,0.0,0.0,0.0,0.0,578.058,4251.0,0.0,0.0,469.0,87.0,23.0,0.0,766.0,418.0,0.0,0.0,547.0,0.0,344.0,0.0,1.52,0.0,0.0,0.0,1707.0,2501.0,2623.0,1245.0,0.0,1093.0,775.0,7.02,1152.0,3.04,633.0,0.0,7.9879999999999995,0.0,0.0
2023-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.0,0.0,105.0,0.0,537.852,265.6,95.352,0.0,1.832,0.0,291.0,2917.0,3.0,927.0,0.0,282.0,657.0,553.0,1271.0,3196.0,936.0,2223.0,3672.0,0.0,0.0,1048.0,276.0,205.0,0.0,984.0,96.0,2047.0,606.0,470.0,484.0,129.0,18346.0,75.2,696.0,1762.0,800.0,0.0,0.0,0.0,0.0,507.02,4486.0,0.0,0.0,455.0,87.0,5.0,0.0,182.0,382.0,0.0,0.0,443.0,0.0,596.0,0.0,1.4,0.0,0.0,0.0,572.0,1419.0,1766.0,346.0,0.0,133.0,396.0,4.16,409.0,3.136,294.0,0.0,11.212,0.0,0.0
2023-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,0.0,113.124,0.0,331.788,381.544,82.492,0.048,0.648,0.0,59.0,2910.0,4.0,885.0,0.0,269.0,662.0,339.0,1262.0,2687.0,868.0,2692.0,3100.0,0.0,0.0,1881.0,281.0,146.0,0.0,983.0,96.0,2214.0,137.0,338.0,180.0,129.0,17663.0,74.924,535.0,1632.0,853.0,0.0,0.0,0.0,0.0,471.7,3363.0,0.0,0.0,458.0,88.0,6.0,0.0,157.0,373.0,0.0,0.0,354.0,0.0,239.0,0.0,1.16,0.0,0.0,0.0,549.0,1237.0,1743.0,342.0,0.0,439.0,387.0,5.8999999999999995,656.0,2.932,106.0,0.0,11.26,0.0,0.0
2023-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1045.0,0.0,126.692,0.0,963.924,900.5,102.924,0.0,3.272,0.0,361.0,3180.0,12.0,916.0,0.0,280.0,1816.0,892.0,1980.0,3919.0,2958.0,2728.0,6127.0,0.0,0.0,2408.0,608.0,556.0,0.0,982.0,747.0,2271.0,464.0,535.0,446.0,1127.0,22766.0,74.724,176.0,2297.0,802.0,0.0,0.0,0.0,0.0,490.132,4076.0,0.0,0.0,489.0,56.0,10.0,0.0,625.0,290.0,0.0,0.0,476.0,0.0,347.0,0.0,1.3599999999999999,0.0,0.0,0.0,1743.0,2711.0,2590.0,1254.0,0.0,964.0,804.0,6.263999999999999,1318.0,2.98,610.0,0.0,8.0,0.0,0.0
