tstamp,PT0002000032936306KX,PT0002000032942455NH,PT0002000032959511HP,PT0002000032966446CC,PT0002000032968749YT,PT0002000032969229AC,PT0002000032976997LZ,PT0002000032990792KD,PT0002000032993611ME,PT0002000033016394FN,PT0002000033039837ZH,PT0002000033074862LZ,PT0002000033085062AW,PT0002000033094187PL,PT0002000033171958DG,PT0002000033186037TF,PT0002000033254603ZX,PT0002000053093191SV,PT0002000065256275YB,PT0002000065523872AA,PT0002000066469574LZ,PT0002000068856655YV,PT0002000068856781NM,PT0002000068856872QG,PT0002000068856906VS,PT0002000068856952LS,PT0002000068857099AR,PT0002000068857897ZV,PT0002000068857909SY,PT0002000068859187RL,PT0002000068859325FL,PT0002000068859382XF,PT0002000068859393XH,PT0002000068859597LS,PT0002000069698702RB,PT0002000069803182JW,PT0002000071896778MT,PT0002000073231742VK,PT0002000073481266XH,PT0002000073598156DE,PT0002000073717386HC,PT0002000075637532JB,PT0002000077394934QY,PT0002000077647404EM,PT0002000078207354XC,PT0002000078233981HJ,PT0002000078294957RQ,PT0002000078441876HB,PT0002000079901964CJ,PT0002000081344542CP,PT0002000081997398TD,PT0002000082549706RH,PT0002000082592498EF,PT0002000084414998AX,PT0002000085555547GN,PT0002000085641795MX,PT0002000089069203YG,PT0002000100113293JT,PT0002000100742616GC,PT0002000101964938LF,PT0002000102936404ME,PT0002000103647515BL,PT0002000105483259QH,PT0002000106237165CF,PT0002000107046231FW,PT0002000107172384HT,PT0002000107332489XW,PT0002000108315818YN,PT0002000109837807PE,PT0002000109942242HZ,PT0002000110090564GD,PT0002000110607652SB,PT0002000112026362NN,PT0002000112171317NK,PT0002000112989585PH,PT0002000114685657JR,PT0002000115031201VQ,PT0002000115673389QK,PT0002000115673471CB,PT0002000115700602GW,PT0002000117822355RM,PT0002000119303492KB,PT0002000120237616VJ,PT0002000120320157HF,PT0002000123648159KR,PT0002000123801456QA,PT0002000125379984SH,PT0002000131605602FL,PT0002000133505542CK,PT0002000133685986TF,PT0002000201936109ME
2022-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,3004.0,4.0,392.0,0.0,143.0,0.0,47.0,1118.0,1016.0,0.0,657.0,2195.0,0.0,0.0,965.0,281.0,140.0,0.0,340.0,127.0,1585.0,40.0,125.0,73.0,124.0,11964.0,0.0,46.0,1557.0,633.0,0.0,0.0,0.0,0.0,45.284,4460.0,0.0,0.0,452.0,84.0,12.0,0.0,154.0,323.0,0.0,0.0,107.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,84.0,787.0,1561.0,354.0,0.0,146.0,329.0,0.0,388.0,0.0,104.0,0.0,0.0,0.0,0.0
2023-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25529.0,0.0,5644.48,0.0,27218.168,23180.38,4317.364,0.84,135.392,0.0,8003.0,97059.0,343.0,22900.0,0.0,9207.0,44407.0,23894.0,55609.0,108797.0,78199.0,81847.0,151779.0,0.0,0.0,53652.0,15323.0,14017.0,0.0,28532.0,17005.0,87076.0,12058.0,15206.0,9531.0,23735.0,686410.0,2285.7200000000003,11585.0,73384.0,27228.0,0.0,0.0,0.0,0.0,16114.694,119117.0,0.0,0.0,14523.0,1837.0,276.0,0.0,17899.0,13404.0,0.0,0.0,11815.0,0.0,11823.0,0.0,45.664,0.0,0.0,0.0,37876.0,69484.0,73920.0,30381.0,0.0,26849.0,20008.0,200.10799999999998,35024.0,108.428,18066.0,0.0,339.392,0.0,0.0
2023-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21804.0,0.0,3286.236,0.0,23456.832,18469.088,4191.184,1.28,93.128,0.0,6847.0,85724.0,353.0,20788.0,0.0,7672.0,37559.0,19233.0,48866.0,95874.0,65968.0,92220.0,149749.0,0.0,0.0,40529.0,13333.0,11712.0,0.0,27401.0,13533.0,70152.0,9469.0,12019.0,8452.0,20115.0,599883.0,1909.3,9113.0,73862.0,20565.0,0.0,0.0,0.0,0.0,12568.956,99752.0,0.0,0.0,12442.0,1682.0,540.0,0.0,13100.0,16182.0,0.0,0.0,9495.0,0.0,10423.0,0.0,41.984,1184.1,0.0,0.0,25837.0,54771.0,53704.0,25540.0,0.0,21239.0,16635.0,194.56,29491.0,126.78,15563.0,0.0,301.972,0.0,0.0
2023-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22879.0,0.0,2413.724,0.0,27655.012,20745.284,3835.128,2.284,93.324,0.0,6502.0,92885.5,355.0,19562.0,0.0,8139.0,44270.0,17973.0,51090.0,98703.5,75243.0,89127.0,144574.0,0.0,0.0,42317.0,16128.0,12825.0,0.0,23342.0,16271.0,70489.0,13458.0,14704.0,10610.0,25136.0,567539.0,1893.0720000000001,10892.0,80804.5,22555.0,0.0,0.0,0.0,0.0,12445.916,151943.0,0.0,0.0,13411.0,2123.0,652.0,0.0,15016.0,15665.0,0.0,18.392,11687.0,0.0,12417.0,0.0,47.028,1427.116,0.0,0.0,26425.0,55290.0,53309.5,30094.5,0.0,23283.0,18987.0,219.744,30812.0,195.65200000000002,18233.0,0.0,338.708,0.0,0.0
2023-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15292.0,0.0,2350.348,0.0,27098.908,9472.556,1334.1680000000001,7.032,66.4,0.0,4584.0,89615.0,297.0,15265.0,0.0,7140.0,29989.0,9173.0,25394.0,76112.0,42918.0,84627.0,51296.0,0.0,0.0,7801.0,12874.0,9606.0,0.0,4572.0,9627.0,53399.0,12298.0,10671.0,7877.0,9937.0,546931.0,1626.492,8172.0,71542.0,18260.0,0.0,0.0,0.0,0.0,17.924,145036.0,0.0,0.0,12904.0,2083.0,427.0,0.0,6616.0,15326.0,0.0,68.508,7621.0,0.0,9503.0,0.0,44.868,1309.832,0.0,0.0,8201.0,32253.0,19674.0,19880.0,0.0,11636.0,13190.0,219.684,15109.0,202.116,11581.0,0.0,334.216,0.0,0.0
2023-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18613.0,0.0,2570.772,0.0,28153.428,8937.132,1063.032,11.56,110.756,0.0,4831.0,95551.0,295.0,15315.0,0.0,5417.0,41207.0,12241.0,21148.0,85656.0,61208.0,70080.0,81542.0,0.0,0.0,11079.0,16939.0,11533.0,0.0,25427.0,14464.0,50907.0,11394.0,12157.0,8933.0,13062.0,649744.0,1490.772,8703.0,72911.0,17840.0,0.0,0.0,0.0,0.0,0.0,142671.0,0.0,13646.0,12811.0,2130.0,541.0,0.0,7493.0,20946.0,0.0,56.636,11569.0,0.0,10316.0,13603.0,45.7,1262.904,0.0,0.0,11567.0,35154.0,23575.0,24981.0,0.0,14521.0,17267.0,229.572,10734.0,228.568,10617.0,0.0,344.556,0.0,0.0
2023-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17698.0,0.0,2395.364,0.0,27129.38,7559.288,1022.26,13.104000000000001,116.188,0.0,4197.0,95286.0,597.0,19652.0,1363.0,5162.0,7.0,11557.0,20960.0,86840.0,43996.0,67916.0,56339.0,0.0,0.0,10130.0,17147.0,12327.0,0.0,27789.0,13481.0,50969.0,7140.0,9324.0,6406.0,12052.0,705910.0,1359.676,4746.0,69670.0,40877.0,0.0,0.0,0.0,0.0,0.0,133690.0,0.0,15824.0,12157.0,2048.0,619.0,0.0,7997.0,22982.0,0.0,2.544,9183.0,0.0,8861.0,18242.0,45.916,1137.976,0.0,0.0,9883.0,31042.0,24380.0,23930.0,0.0,16661.0,15980.0,222.024,10237.0,214.708,11402.0,0.0,332.896,0.0,0.0
2023-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16118.0,0.0,2369.492,0.0,27650.972,4672.132,1032.392,13.0,74.172,0.0,4637.0,98290.0,103.0,18862.0,1211.0,7082.0,24825.0,4694.0,20869.0,99671.0,38448.0,58571.0,35167.0,0.0,0.0,7259.0,12393.0,12947.0,0.0,28843.0,8215.0,51924.0,1892.0,4443.0,4502.0,8580.0,734861.0,1444.512,2680.0,110896.0,60352.0,0.0,0.0,0.0,0.0,0.0,125627.0,0.0,15276.0,16292.0,2110.0,669.0,0.0,4633.0,23012.0,0.0,36.704,6616.0,0.0,4664.0,17933.0,46.096,986.904,0.0,0.0,6453.0,19578.0,16620.0,20500.0,0.0,10295.0,10703.0,230.756,6783.0,219.98000000000002,9532.0,0.0,328.104,0.0,0.0
2023-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9361.0,0.0,2636.496,0.0,28408.724,1345.94,919.712,12.464,42.908,0.0,4338.0,98324.0,46.0,12832.0,1451.0,9323.0,17124.0,3609.0,18507.0,71356.0,25277.0,32232.0,25424.0,0.0,0.0,0.0,10715.0,10276.0,0.0,25034.0,0.0,52670.0,2065.0,3413.0,3116.0,3001.0,748776.0,1600.208,7232.0,85902.0,61818.0,0.0,0.0,0.0,0.0,0.0,45380.0,0.0,14954.0,17669.0,2092.0,774.0,0.0,1465.0,0.0,0.0,34.0,4950.0,0.0,0.0,22039.0,46.168,945.988,0.0,0.0,3213.0,12329.0,8271.0,8971.0,0.0,3995.0,0.0,226.94,1652.0,205.856,0.0,0.0,198.828,0.0,0.0
2023-09-30,0.0,0.0,0.0,0.0,0.0,0.0,4512.22,0.0,1124.252,2545.104,0.0,17350.0,0.0,2391.384,0.0,27411.68,6051.016,1010.732,2.596,85.504,0.0,4137.0,93454.0,456.0,13877.0,2775.0,10130.0,29702.0,9684.0,20611.0,88384.0,47427.0,54993.0,52747.0,0.0,0.0,0.0,13987.0,12866.0,0.0,28042.0,0.0,48264.0,8363.0,9606.0,8206.0,10414.0,663184.0,1773.3600000000001,8055.0,91055.0,34759.0,0.0,0.0,0.0,0.0,0.0,138859.0,0.0,13427.0,14180.0,1924.0,660.0,0.0,5512.0,0.0,0.0,26.352,10092.0,0.0,0.0,17156.0,45.78,723.716,0.0,0.0,8834.0,27902.0,19765.0,25716.0,0.0,11293.0,0.0,216.772,8399.0,209.764,0.0,0.0,326.692,0.0,0.0
